,subject,rt,trial_type,trial_index,time_elapsed,condition,assignment,responses,stimType,stimNum,categorization,numeric_categorization,order,Understood,group,trial_condition,exp.inf.1,spon.1,rc.1,exp.inf.2,spon.2,rc.2,spon.true,exp.inf.mean,rc.mean,spon.mean,Congruent,Congruence,numeric_categorization2,exp_group
33,3268,3099,survey-multi-choice,3,86688,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,3,Yes,1,1,0,group1,speaker_unaware,10,0,8,11,1,9,0,10.5,8.5,0.5,TRUE,congruent,1,Inference
34,3268,9686,survey-multi-choice,5,121708,Speaker Aware,4a,"{""Q0"":""Yes""}",belief,8,Yes,1,2,0,group1,speaker_aware,10,0,8,11,1,9,0,10.5,8.5,0.5,FALSE,incongruent,1,Inference
35,3268,2779,survey-multi-choice,7,146925,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,4,Yes,1,3,0,group1,speaker_unaware,10,0,8,11,1,9,0,10.5,8.5,0.5,TRUE,congruent,1,Inference
36,3268,2497,survey-multi-choice,9,176203,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,1,Yes,1,4,0,group1,speaker_unaware,10,0,8,11,1,9,0,10.5,8.5,0.5,TRUE,congruent,1,Inference
37,3268,2171,survey-multi-choice,11,202249,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,6,Yes,1,5,0,group1,speaker_unaware,10,0,8,11,1,9,0,10.5,8.5,0.5,TRUE,congruent,1,Inference
38,3268,4757,survey-multi-choice,13,240051,Speaker Aware,4a,"{""Q0"":""No""}",belief,5,No,0,6,0,group1,speaker_aware,10,0,8,11,1,9,0,10.5,8.5,0.5,TRUE,congruent,0,Inference
39,3268,2405,survey-multi-choice,15,259853,Speaker Aware,4a,"{""Q0"":""No""}",belief,7,No,0,7,0,group1,speaker_aware,10,0,8,11,1,9,0,10.5,8.5,0.5,TRUE,congruent,0,Inference
40,3268,2086,survey-multi-choice,17,288480,Speaker Aware,4a,"{""Q0"":""No""}",belief,2,No,0,8,0,group1,speaker_aware,10,0,8,11,1,9,0,10.5,8.5,0.5,TRUE,congruent,0,Inference
41,3415,5373,survey-multi-choice,3,112127,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,2,Yes,1,1,0,group1,speaker_aware,5,0,8,7,0,8,0,6,8,0,TRUE,congruent,0,Knowledge
42,3415,8694,survey-multi-choice,5,125838,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,3,No,0,2,0,group1,speaker_unaware,5,0,8,7,0,8,0,6,8,0,TRUE,congruent,1,Knowledge
43,3415,2566,survey-multi-choice,7,149998,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,6,No,0,3,0,group1,speaker_unaware,5,0,8,7,0,8,0,6,8,0,TRUE,congruent,1,Knowledge
44,3415,3030,survey-multi-choice,9,179934,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,1,No,0,4,0,group1,speaker_unaware,5,0,8,7,0,8,0,6,8,0,TRUE,congruent,1,Knowledge
45,3415,3486,survey-multi-choice,11,249830,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,4,No,0,5,0,group1,speaker_unaware,5,0,8,7,0,8,0,6,8,0,TRUE,congruent,1,Knowledge
46,3415,3150,survey-multi-choice,13,304038,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,5,Yes,1,6,0,group1,speaker_aware,5,0,8,7,0,8,0,6,8,0,TRUE,congruent,0,Knowledge
47,3415,2813,survey-multi-choice,15,374494,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,7,Yes,1,7,0,group1,speaker_aware,5,0,8,7,0,8,0,6,8,0,TRUE,congruent,0,Knowledge
48,3415,3270,survey-multi-choice,17,402942,Speaker Aware,4b,"{""Q0"":""No""}",belief,8,No,0,8,0,group1,speaker_aware,5,0,8,7,0,8,0,6,8,0,FALSE,incongruent,1,Knowledge
49,3542,7538,survey-multi-choice,3,183566,Speaker Aware,4a,"{""Q0"":""Yes""}",belief,3,Yes,1,1,0,group2,speaker_aware,11,0,10,10,1,10,0,10.5,10,0.5,FALSE,incongruent,1,Inference
50,3542,3407,survey-multi-choice,5,225201,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,8,Yes,1,2,0,group2,speaker_unaware,11,0,10,10,1,10,0,10.5,10,0.5,TRUE,congruent,1,Inference
51,3542,2888,survey-multi-choice,7,254778,Speaker Aware,4a,"{""Q0"":""Yes""}",belief,4,Yes,1,3,0,group2,speaker_aware,11,0,10,10,1,10,0,10.5,10,0.5,FALSE,incongruent,1,Inference
52,3542,2298,survey-multi-choice,9,286117,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,2,Yes,1,4,0,group2,speaker_unaware,11,0,10,10,1,10,0,10.5,10,0.5,TRUE,congruent,1,Inference
53,3542,1955,survey-multi-choice,11,312474,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,7,Yes,1,5,0,group2,speaker_unaware,11,0,10,10,1,10,0,10.5,10,0.5,TRUE,congruent,1,Inference
54,3542,1878,survey-multi-choice,13,337252,Speaker Aware,4a,"{""Q0"":""No""}",belief,1,No,0,6,0,group2,speaker_aware,11,0,10,10,1,10,0,10.5,10,0.5,TRUE,congruent,0,Inference
55,3542,4915,survey-multi-choice,15,369473,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,5,Yes,1,7,0,group2,speaker_unaware,11,0,10,10,1,10,0,10.5,10,0.5,TRUE,congruent,1,Inference
56,3542,16515,survey-multi-choice,17,401750,Speaker Aware,4a,"{""Q0"":""No""}",belief,6,No,0,8,0,group2,speaker_aware,11,0,10,10,1,10,0,10.5,10,0.5,TRUE,congruent,0,Inference
57,3674,2779,survey-multi-choice,3,119036,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,3,Yes,1,1,0,group2,speaker_aware,4,0,9,4,1,8,0,4,8.5,0.5,TRUE,congruent,0,Knowledge
58,3674,3898,survey-multi-choice,5,140824,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,1,Yes,1,2,0,group2,speaker_aware,4,0,9,4,1,8,0,4,8.5,0.5,TRUE,congruent,0,Knowledge
59,3674,3996,survey-multi-choice,7,169628,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,5,No,0,3,0,group2,speaker_unaware,4,0,9,4,1,8,0,4,8.5,0.5,TRUE,congruent,1,Knowledge
60,3674,4019,survey-multi-choice,9,198658,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,8,No,0,4,0,group2,speaker_unaware,4,0,9,4,1,8,0,4,8.5,0.5,TRUE,congruent,1,Knowledge
61,3674,3902,survey-multi-choice,11,223538,Speaker Unaware,4b,"{""Q0"":""Yes""}",no_belief,2,Yes,1,5,0,group2,speaker_unaware,4,0,9,4,1,8,0,4,8.5,0.5,FALSE,incongruent,0,Knowledge
62,3674,2615,survey-multi-choice,13,235832,Speaker Aware,4b,"{""Q0"":""No""}",belief,6,No,0,6,0,group2,speaker_aware,4,0,9,4,1,8,0,4,8.5,0.5,FALSE,incongruent,1,Knowledge
63,3674,2957,survey-multi-choice,15,257482,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,7,No,0,7,0,group2,speaker_unaware,4,0,9,4,1,8,0,4,8.5,0.5,TRUE,congruent,1,Knowledge
64,3674,3423,survey-multi-choice,17,281161,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,4,Yes,1,8,0,group2,speaker_aware,4,0,9,4,1,8,0,4,8.5,0.5,TRUE,congruent,0,Knowledge
65,6015,8683,survey-multi-choice,3,37350,Speaker Unaware,4a,"{""Q0"":""No""}",no_belief,4,No,0,1,0,group1,speaker_unaware,10,0,10,13,1,10,0,11.5,10,0.5,FALSE,incongruent,0,Inference
66,6015,5605,survey-multi-choice,5,47197,Speaker Aware,4a,"{""Q0"":""Yes""}",belief,5,Yes,1,2,0,group1,speaker_aware,10,0,10,13,1,10,0,11.5,10,0.5,FALSE,incongruent,1,Inference
67,6015,2142,survey-multi-choice,7,65021,Speaker Unaware,4a,"{""Q0"":""No""}",no_belief,1,No,0,3,0,group1,speaker_unaware,10,0,10,13,1,10,0,11.5,10,0.5,FALSE,incongruent,0,Inference
68,6015,1668,survey-multi-choice,9,75261,Speaker Aware,4a,"{""Q0"":""Yes""}",belief,8,Yes,1,4,0,group1,speaker_aware,10,0,10,13,1,10,0,11.5,10,0.5,FALSE,incongruent,1,Inference
69,6015,2156,survey-multi-choice,11,90141,Speaker Aware,4a,"{""Q0"":""No""}",belief,7,No,0,5,0,group1,speaker_aware,10,0,10,13,1,10,0,11.5,10,0.5,TRUE,congruent,0,Inference
70,6015,1434,survey-multi-choice,13,105901,Speaker Unaware,4a,"{""Q0"":""No""}",no_belief,3,No,0,6,0,group1,speaker_unaware,10,0,10,13,1,10,0,11.5,10,0.5,FALSE,incongruent,0,Inference
71,6015,2055,survey-multi-choice,15,114614,Speaker Aware,4a,"{""Q0"":""No""}",belief,2,No,0,7,0,group1,speaker_aware,10,0,10,13,1,10,0,11.5,10,0.5,TRUE,congruent,0,Inference
72,6015,1292,survey-multi-choice,17,127989,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,6,Yes,1,8,0,group1,speaker_unaware,10,0,10,13,1,10,0,11.5,10,0.5,TRUE,congruent,1,Inference
73,8020,5624,survey-multi-choice,3,289668,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,5,Yes,1,1,0,group1,speaker_aware,6,0,8,8,1,8,0,7,8,0.5,TRUE,congruent,0,Knowledge
74,8020,4279,survey-multi-choice,5,337452,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,2,Yes,1,2,0,group1,speaker_aware,6,0,8,8,1,8,0,7,8,0.5,TRUE,congruent,0,Knowledge
75,8020,3181,survey-multi-choice,7,373655,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,1,No,0,3,0,group1,speaker_unaware,6,0,8,8,1,8,0,7,8,0.5,TRUE,congruent,1,Knowledge
76,8020,2484,survey-multi-choice,9,414438,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,4,No,0,4,0,group1,speaker_unaware,6,0,8,8,1,8,0,7,8,0.5,TRUE,congruent,1,Knowledge
77,8020,3000,survey-multi-choice,11,463234,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,7,Yes,1,5,0,group1,speaker_aware,6,0,8,8,1,8,0,7,8,0.5,TRUE,congruent,0,Knowledge
78,8020,3238,survey-multi-choice,13,517366,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,3,No,0,6,0,group1,speaker_unaware,6,0,8,8,1,8,0,7,8,0.5,TRUE,congruent,1,Knowledge
79,8020,2384,survey-multi-choice,15,536611,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,6,No,0,7,0,group1,speaker_unaware,6,0,8,8,1,8,0,7,8,0.5,TRUE,congruent,1,Knowledge
80,8020,3346,survey-multi-choice,17,580906,Speaker Aware,4b,"{""Q0"":""No""}",belief,8,No,0,8,0,group1,speaker_aware,6,0,8,8,1,8,0,7,8,0.5,FALSE,incongruent,1,Knowledge
81,8967,4231,survey-multi-choice,3,372219,Speaker Aware,4b,"{""Q0"":""No""}",belief,8,No,0,1,0,group1,speaker_aware,1,0,8,2,1,6,0,1.5,7,0.5,FALSE,incongruent,1,Knowledge
82,8967,2272,survey-multi-choice,5,466587,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,7,Yes,1,2,0,group1,speaker_aware,1,0,8,2,1,6,0,1.5,7,0.5,TRUE,congruent,0,Knowledge
83,8967,2288,survey-multi-choice,7,479744,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,6,No,0,3,0,group1,speaker_unaware,1,0,8,2,1,6,0,1.5,7,0.5,TRUE,congruent,1,Knowledge
84,8967,7725,survey-multi-choice,9,512495,Speaker Aware,4b,"{""Q0"":""No""}",belief,2,No,0,4,0,group1,speaker_aware,1,0,8,2,1,6,0,1.5,7,0.5,FALSE,incongruent,1,Knowledge
85,8967,2244,survey-multi-choice,11,533450,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,1,No,0,5,0,group1,speaker_unaware,1,0,8,2,1,6,0,1.5,7,0.5,TRUE,congruent,1,Knowledge
86,8967,2235,survey-multi-choice,13,557636,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,4,No,0,6,0,group1,speaker_unaware,1,0,8,2,1,6,0,1.5,7,0.5,TRUE,congruent,1,Knowledge
87,8967,5350,survey-multi-choice,15,587888,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,3,No,0,7,0,group1,speaker_unaware,1,0,8,2,1,6,0,1.5,7,0.5,TRUE,congruent,1,Knowledge
88,8967,2349,survey-multi-choice,17,630354,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,5,Yes,1,8,0,group1,speaker_aware,1,0,8,2,1,6,0,1.5,7,0.5,TRUE,congruent,0,Knowledge
89,9606,7230,survey-multi-choice,3,143949,Speaker Aware,4a,"{""Q0"":""No""}",belief,4,No,0,1,0,group2,speaker_aware,4,1,10,2,1,10,1,3,10,1,TRUE,congruent,0,Inference
90,9606,3312,survey-multi-choice,5,193652,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,5,Yes,1,2,0,group2,speaker_unaware,4,1,10,2,1,10,1,3,10,1,TRUE,congruent,1,Inference
91,9606,4303,survey-multi-choice,7,224971,Speaker Aware,4a,"{""Q0"":""No""}",belief,1,No,0,3,0,group2,speaker_aware,4,1,10,2,1,10,1,3,10,1,TRUE,congruent,0,Inference
92,9606,5362,survey-multi-choice,9,267636,Speaker Aware,4a,"{""Q0"":""No""}",belief,3,No,0,4,0,group2,speaker_aware,4,1,10,2,1,10,1,3,10,1,TRUE,congruent,0,Inference
93,9606,5881,survey-multi-choice,11,314141,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,2,Yes,1,5,0,group2,speaker_unaware,4,1,10,2,1,10,1,3,10,1,TRUE,congruent,1,Inference
94,9606,2316,survey-multi-choice,13,331522,Speaker Aware,4a,"{""Q0"":""Yes""}",belief,6,Yes,1,6,0,group2,speaker_aware,4,1,10,2,1,10,1,3,10,1,FALSE,incongruent,1,Inference
95,9606,2351,survey-multi-choice,15,361765,Speaker Unaware,4a,"{""Q0"":""No""}",no_belief,7,No,0,7,0,group2,speaker_unaware,4,1,10,2,1,10,1,3,10,1,FALSE,incongruent,0,Inference
96,9606,4046,survey-multi-choice,17,397793,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,8,Yes,1,8,0,group2,speaker_unaware,4,1,10,2,1,10,1,3,10,1,TRUE,congruent,1,Inference
97,12238,10092,survey-multi-choice,3,201001,Speaker Aware,4a,"{""Q0"":""No""}",belief,3,No,0,1,0,group2,speaker_aware,3,0,8,3,1,7,0,3,7.5,0.5,TRUE,congruent,0,Inference
98,12238,3313,survey-multi-choice,5,222476,Speaker Aware,4a,"{""Q0"":""No""}",belief,6,No,0,2,0,group2,speaker_aware,3,0,8,3,1,7,0,3,7.5,0.5,TRUE,congruent,0,Inference
99,12238,3253,survey-multi-choice,7,256547,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,7,Yes,1,3,0,group2,speaker_unaware,3,0,8,3,1,7,0,3,7.5,0.5,TRUE,congruent,1,Inference
100,12238,3573,survey-multi-choice,9,514436,Speaker Aware,4a,"{""Q0"":""Yes""}",belief,1,Yes,1,4,0,group2,speaker_aware,3,0,8,3,1,7,0,3,7.5,0.5,FALSE,incongruent,1,Inference
101,12238,2846,survey-multi-choice,11,580412,Speaker Unaware,4a,"{""Q0"":""No""}",no_belief,2,No,0,5,0,group2,speaker_unaware,3,0,8,3,1,7,0,3,7.5,0.5,FALSE,incongruent,0,Inference
102,12238,2596,survey-multi-choice,13,635968,Speaker Aware,4a,"{""Q0"":""Yes""}",belief,4,Yes,1,6,0,group2,speaker_aware,3,0,8,3,1,7,0,3,7.5,0.5,FALSE,incongruent,1,Inference
103,12238,3095,survey-multi-choice,15,651127,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,8,Yes,1,7,0,group2,speaker_unaware,3,0,8,3,1,7,0,3,7.5,0.5,TRUE,congruent,1,Inference
104,12238,2029,survey-multi-choice,17,688581,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,5,Yes,1,8,0,group2,speaker_unaware,3,0,8,3,1,7,0,3,7.5,0.5,TRUE,congruent,1,Inference
105,13002,7608,survey-multi-choice,3,354337,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,2,No,0,1,0,group2,speaker_unaware,6,0,8,9,1,9,0,7.5,8.5,0.5,TRUE,congruent,1,Knowledge
106,13002,4981,survey-multi-choice,5,376428,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,1,Yes,1,2,0,group2,speaker_aware,6,0,8,9,1,9,0,7.5,8.5,0.5,TRUE,congruent,0,Knowledge
107,13002,3883,survey-multi-choice,7,395372,Speaker Aware,4b,"{""Q0"":""No""}",belief,3,No,0,3,0,group2,speaker_aware,6,0,8,9,1,9,0,7.5,8.5,0.5,FALSE,incongruent,1,Knowledge
108,13002,4169,survey-multi-choice,9,406946,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,8,No,0,4,0,group2,speaker_unaware,6,0,8,9,1,9,0,7.5,8.5,0.5,TRUE,congruent,1,Knowledge
109,13002,4022,survey-multi-choice,11,419981,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,6,Yes,1,5,0,group2,speaker_aware,6,0,8,9,1,9,0,7.5,8.5,0.5,TRUE,congruent,0,Knowledge
110,13002,4697,survey-multi-choice,13,470266,Speaker Unaware,4b,"{""Q0"":""Yes""}",no_belief,5,Yes,1,6,0,group2,speaker_unaware,6,0,8,9,1,9,0,7.5,8.5,0.5,FALSE,incongruent,0,Knowledge
111,13002,3292,survey-multi-choice,15,505451,Speaker Unaware,4b,"{""Q0"":""No""}",no_belief,7,No,0,7,0,group2,speaker_unaware,6,0,8,9,1,9,0,7.5,8.5,0.5,TRUE,congruent,1,Knowledge
112,13002,4808,survey-multi-choice,17,569401,Speaker Aware,4b,"{""Q0"":""No""}",belief,4,No,0,8,0,group2,speaker_aware,6,0,8,9,1,9,0,7.5,8.5,0.5,FALSE,incongruent,1,Knowledge
113,13480,6130,survey-multi-choice,3,161697,Speaker Aware,4a,"{""Q0"":""Yes""}",belief,4,Yes,1,1,0,group2,speaker_aware,8,0,10,7,1,8,0,7.5,9,0.5,FALSE,incongruent,1,Inference
114,13480,4052,survey-multi-choice,5,205487,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,8,Yes,1,2,0,group2,speaker_unaware,8,0,10,7,1,8,0,7.5,9,0.5,TRUE,congruent,1,Inference
115,13480,3331,survey-multi-choice,7,242839,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,2,Yes,1,3,0,group2,speaker_unaware,8,0,10,7,1,8,0,7.5,9,0.5,TRUE,congruent,1,Inference
116,13480,3080,survey-multi-choice,9,276150,Speaker Unaware,4a,"{""Q0"":""No""}",no_belief,7,No,0,4,0,group2,speaker_unaware,8,0,10,7,1,8,0,7.5,9,0.5,FALSE,incongruent,0,Inference
117,13480,4185,survey-multi-choice,11,306846,Speaker Aware,4a,"{""Q0"":""No""}",belief,1,No,0,5,0,group2,speaker_aware,8,0,10,7,1,8,0,7.5,9,0.5,TRUE,congruent,0,Inference
118,13480,2607,survey-multi-choice,13,361661,Speaker Unaware,4a,"{""Q0"":""Yes""}",no_belief,5,Yes,1,6,0,group2,speaker_unaware,8,0,10,7,1,8,0,7.5,9,0.5,TRUE,congruent,1,Inference
119,13480,4103,survey-multi-choice,15,379566,Speaker Aware,4a,"{""Q0"":""Yes""}",belief,6,Yes,1,7,0,group2,speaker_aware,8,0,10,7,1,8,0,7.5,9,0.5,FALSE,incongruent,1,Inference
120,13480,3747,survey-multi-choice,17,414253,Speaker Aware,4a,"{""Q0"":""No""}",belief,3,No,0,8,0,group2,speaker_aware,8,0,10,7,1,8,0,7.5,9,0.5,TRUE,congruent,0,Inference
121,13662,3355,survey-multi-choice,3,64616,Speaker Aware,4b,"{""Q0"":""Yes""}",belief,3,Yes,1,1,0,group2,speaker_aware,10,0,10,10,1,10,0,10,10,0.5,TRUE,congruent,0,Knowledge
