,subject,rt,trial_type,trial_index,time_elapsed,group,assignment,responses,knowledge,stimType,stimNum,answer,numeric_code,order,Condition,exp_inf_1,exp_inf_2,spon_1,spon_2,spon_3,rc_1,rc_2,exp_inf_mean,rc_mean,spon_agree,spon_true,rc_bins_1
11,635,1321,survey-multi-choice,29,550805,group2,5a,"{""Q0"":""No""}",explicit,Speaker Aware,4,No,0,14,Speaker Aware,7,8,0,0,NA,8,9,7.5,8.5,TRUE,0,low
12,635,1593,survey-multi-choice,31,597638,group2,5a,"{""Q0"":""No""}",explicit,Speaker Aware,6,No,0,15,Speaker Aware,7,8,0,0,NA,8,9,7.5,8.5,TRUE,0,low
13,635,1579,survey-multi-choice,33,621537,group2,5a,"{""Q0"":""Yes""}",explicit,Speaker Aware,3,Yes,1,16,Speaker Aware,7,8,0,0,NA,8,9,7.5,8.5,TRUE,0,low
14,635,1797,survey-multi-choice,9,199573,group2,5a,"{""Q0"":""No""}",implicit,Speaker Unaware,7,No,0,4,Speaker Unaware,7,8,0,0,NA,8,9,7.5,8.5,TRUE,0,low
15,635,1322,survey-multi-choice,11,226062,group2,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,13,Yes,1,5,Speaker Unaware,7,8,0,0,NA,8,9,7.5,8.5,TRUE,0,low
16,635,1293,survey-multi-choice,13,257816,group2,5a,"{""Q0"":""No""}",implicit,Speaker Aware,14,No,0,6,Speaker Aware,7,8,0,0,NA,8,9,7.5,8.5,TRUE,0,low
17,703,5267,survey-multi-choice,9,253289,group2,5a,"{""Q0"":""No""}",implicit,Speaker Unaware,2,No,0,4,Speaker Unaware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
18,703,6751,survey-multi-choice,3,122999,group2,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,8,Yes,1,1,Speaker Unaware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
19,703,3498,survey-multi-choice,5,159653,group2,5a,"{""Q0"":""No""}",implicit,Speaker Unaware,7,No,0,2,Speaker Unaware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
20,703,8791,survey-multi-choice,7,209617,group2,5a,"{""Q0"":""No""}",implicit,Speaker Unaware,5,No,0,3,Speaker Unaware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
21,703,3130,survey-multi-choice,17,375138,group2,5a,"{""Q0"":""No""}",explicit,Speaker Aware,1,No,0,8,Speaker Aware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
22,703,4662,survey-multi-choice,11,289004,group2,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,12,Yes,1,5,Speaker Unaware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
23,703,3464,survey-multi-choice,13,317318,group2,5a,"{""Q0"":""No""}",implicit,Speaker Aware,11,No,0,6,Speaker Aware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
24,703,4430,survey-multi-choice,15,338473,group2,5a,"{""Q0"":""Yes""}",explicit,Speaker Aware,6,Yes,1,7,Speaker Aware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
25,703,2973,survey-multi-choice,23,478612,group2,5a,"{""Q0"":""No""}",explicit,Speaker Aware,4,No,0,11,Speaker Aware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
26,703,3631,survey-multi-choice,25,502902,group2,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,15,Yes,1,12,Speaker Unaware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
27,703,2645,survey-multi-choice,27,537555,group2,5a,"{""Q0"":""No""}",explicit,Speaker Aware,3,No,0,13,Speaker Aware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
28,703,2954,survey-multi-choice,29,567225,group2,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,9,Yes,1,14,Speaker Unaware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
29,703,3563,survey-multi-choice,31,600834,group2,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,13,Yes,1,15,Speaker Unaware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
30,703,3272,survey-multi-choice,33,627771,group2,5a,"{""Q0"":""No""}",implicit,Speaker Aware,14,No,0,16,Speaker Aware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
31,703,5609,survey-multi-choice,19,420296,group2,5a,"{""Q0"":""Yes""}",implicit,Speaker Aware,16,Yes,1,9,Speaker Aware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
32,703,3520,survey-multi-choice,21,450863,group2,5a,"{""Q0"":""Yes""}",implicit,Speaker Aware,10,Yes,1,10,Speaker Aware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
33,766,10793,survey-multi-choice,3,106182,group3,5a,"{""Q0"":""No""}",explicit,Speaker Aware,13,No,0,1,Speaker Aware,11,10,0,0,NA,9,10,10.5,9.5,TRUE,0,high
34,766,3210,survey-multi-choice,15,416745,group3,5a,"{""Q0"":""No""}",explicit,Speaker Aware,12,No,0,7,Speaker Aware,11,10,0,0,NA,9,10,10.5,9.5,TRUE,0,high
35,766,5010,survey-multi-choice,9,262139,group3,5a,"{""Q0"":""No""}",explicit,Speaker Aware,15,No,0,4,Speaker Aware,11,10,0,0,NA,9,10,10.5,9.5,TRUE,0,high
36,766,7953,survey-multi-choice,11,318697,group3,5a,"{""Q0"":""No""}",explicit,Speaker Unaware,3,No,0,5,Speaker Unaware,11,10,0,0,NA,9,10,10.5,9.5,TRUE,0,high
37,766,4221,survey-multi-choice,13,380799,group3,5a,"{""Q0"":""No""}",explicit,Speaker Unaware,1,No,0,6,Speaker Unaware,11,10,0,0,NA,9,10,10.5,9.5,TRUE,0,high
38,766,4481,survey-multi-choice,29,846406,group3,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,6,Yes,1,14,Speaker Unaware,11,10,0,0,NA,9,10,10.5,9.5,TRUE,0,high
39,766,3135,survey-multi-choice,5,136142,group3,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,16,Yes,1,2,Speaker Unaware,11,10,0,0,NA,9,10,10.5,9.5,TRUE,0,high
40,766,5173,survey-multi-choice,7,214646,group3,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,10,Yes,1,3,Speaker Unaware,11,10,0,0,NA,9,10,10.5,9.5,TRUE,0,high
41,766,5599,survey-multi-choice,17,479739,group3,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,14,Yes,1,8,Speaker Unaware,11,10,0,0,NA,9,10,10.5,9.5,TRUE,0,high
42,766,8507,survey-multi-choice,19,568028,group3,5a,"{""Q0"":""No""}",implicit,Speaker Aware,2,No,0,9,Speaker Aware,11,10,0,0,NA,9,10,10.5,9.5,TRUE,0,high
43,766,7593,survey-multi-choice,21,612830,group3,5a,"{""Q0"":""No""}",implicit,Speaker Aware,7,No,0,10,Speaker Aware,11,10,0,0,NA,9,10,10.5,9.5,TRUE,0,high
44,766,8533,survey-multi-choice,23,676588,group3,5a,"{""Q0"":""No""}",implicit,Speaker Aware,5,No,0,11,Speaker Aware,11,10,0,0,NA,9,10,10.5,9.5,TRUE,0,high
45,766,5574,survey-multi-choice,25,753794,group3,5a,"{""Q0"":""No""}",explicit,Speaker Aware,9,No,0,12,Speaker Aware,11,10,0,0,NA,9,10,10.5,9.5,TRUE,0,high
46,766,6822,survey-multi-choice,27,817868,group3,5a,"{""Q0"":""No""}",implicit,Speaker Unaware,11,No,0,13,Speaker Unaware,11,10,0,0,NA,9,10,10.5,9.5,TRUE,0,high
47,766,4368,survey-multi-choice,31,921007,group3,5a,"{""Q0"":""Yes""}",implicit,Speaker Aware,8,Yes,1,15,Speaker Aware,11,10,0,0,NA,9,10,10.5,9.5,TRUE,0,high
48,766,17784,survey-multi-choice,33,976190,group3,5a,"{""Q0"":""No""}",explicit,Speaker Unaware,4,No,0,16,Speaker Unaware,11,10,0,0,NA,9,10,10.5,9.5,TRUE,0,high
49,5922,2746,survey-multi-choice,31,470993,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,10,Yes,1,15,Speaker Unaware,4,5,0,0,NA,10,9,4.5,9.5,TRUE,0,high
50,5922,4372,survey-multi-choice,21,268651,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Aware,5,Yes,1,10,Speaker Aware,4,5,0,0,NA,10,9,4.5,9.5,TRUE,0,high
51,5922,2667,survey-multi-choice,23,285700,group1,5a,"{""Q0"":""No""}",explicit,Speaker Unaware,14,No,0,11,Speaker Unaware,4,5,0,0,NA,10,9,4.5,9.5,TRUE,0,high
52,5922,23190,survey-multi-choice,25,318951,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,1,Yes,1,12,Speaker Unaware,4,5,0,0,NA,10,9,4.5,9.5,TRUE,0,high
53,5922,56052,survey-multi-choice,33,674335,group1,5a,"{""Q0"":""No""}",explicit,Speaker Unaware,16,No,0,16,Speaker Unaware,4,5,0,0,NA,10,9,4.5,9.5,TRUE,0,high
54,5922,80718,survey-multi-choice,29,465562,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,4,Yes,1,14,Speaker Unaware,4,5,0,0,NA,10,9,4.5,9.5,TRUE,0,high
55,5922,26931,survey-multi-choice,19,261088,group1,5a,"{""Q0"":""No""}",implicit,Speaker Aware,13,No,0,9,Speaker Aware,4,5,0,0,NA,10,9,4.5,9.5,TRUE,0,high
56,5922,3322,survey-multi-choice,17,231232,group1,5a,"{""Q0"":""No""}",explicit,Speaker Aware,8,No,0,8,Speaker Aware,4,5,0,0,NA,10,9,4.5,9.5,TRUE,0,high
57,5922,3633,survey-multi-choice,27,335187,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Aware,12,Yes,1,13,Speaker Aware,4,5,0,0,NA,10,9,4.5,9.5,TRUE,0,high
58,5922,4864,survey-multi-choice,3,41761,group1,5a,"{""Q0"":""No""}",implicit,Speaker Aware,15,No,0,1,Speaker Aware,4,5,0,0,NA,10,9,4.5,9.5,TRUE,0,high
59,5922,2728,survey-multi-choice,9,188585,group1,5a,"{""Q0"":""No""}",explicit,Speaker Unaware,11,No,0,4,Speaker Unaware,4,5,0,0,NA,10,9,4.5,9.5,TRUE,0,high
60,5922,2378,survey-multi-choice,5,81308,group1,5a,"{""Q0"":""No""}",implicit,Speaker Unaware,3,No,0,2,Speaker Unaware,4,5,0,0,NA,10,9,4.5,9.5,TRUE,0,high
61,5922,21014,survey-multi-choice,7,169921,group1,5a,"{""Q0"":""No""}",explicit,Speaker Aware,2,No,0,3,Speaker Aware,4,5,0,0,NA,10,9,4.5,9.5,TRUE,0,high
62,5922,3202,survey-multi-choice,15,225097,group1,5a,"{""Q0"":""No""}",implicit,Speaker Aware,9,No,0,7,Speaker Aware,4,5,0,0,NA,10,9,4.5,9.5,TRUE,0,high
63,5922,2186,survey-multi-choice,13,201121,group1,5a,"{""Q0"":""No""}",explicit,Speaker Aware,7,No,0,6,Speaker Aware,4,5,0,0,NA,10,9,4.5,9.5,TRUE,0,high
64,5922,1693,survey-multi-choice,11,194074,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,6,Yes,1,5,Speaker Unaware,4,5,0,0,NA,10,9,4.5,9.5,TRUE,0,high
65,7226,1346,survey-multi-choice,13,128907,group1,5a,"{""Q0"":""No""}",implicit,Speaker Unaware,1,No,0,6,Speaker Unaware,5,8,1,0,1,8,8,6.5,8,FALSE,1,low
66,7226,5123,survey-multi-choice,7,75398,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,3,Yes,1,3,Speaker Unaware,5,8,1,0,1,8,8,6.5,8,FALSE,1,low
67,7226,1326,survey-multi-choice,9,102184,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Aware,15,Yes,1,4,Speaker Aware,5,8,1,0,1,8,8,6.5,8,FALSE,1,low
68,7226,2475,survey-multi-choice,11,119210,group1,5a,"{""Q0"":""No""}",explicit,Speaker Unaware,11,No,0,5,Speaker Unaware,5,8,1,0,1,8,8,6.5,8,FALSE,1,low
69,7226,1335,survey-multi-choice,27,256867,group1,5a,"{""Q0"":""No""}",explicit,Speaker Aware,5,No,0,13,Speaker Aware,5,8,1,0,1,8,8,6.5,8,FALSE,1,low
70,7226,1447,survey-multi-choice,29,275376,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,10,Yes,1,14,Speaker Unaware,5,8,1,0,1,8,8,6.5,8,FALSE,1,low
71,7226,4938,survey-multi-choice,3,34048,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,6,Yes,1,1,Speaker Unaware,5,8,1,0,1,8,8,6.5,8,FALSE,1,low
72,7226,2256,survey-multi-choice,5,62992,group1,5a,"{""Q0"":""No""}",explicit,Speaker Aware,2,No,0,2,Speaker Aware,5,8,1,0,1,8,8,6.5,8,FALSE,1,low
73,7226,1507,survey-multi-choice,17,166144,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,14,Yes,1,8,Speaker Unaware,5,8,1,0,1,8,8,6.5,8,FALSE,1,low
74,7226,1585,survey-multi-choice,19,180742,group1,5a,"{""Q0"":""No""}",implicit,Speaker Aware,13,No,0,9,Speaker Aware,5,8,1,0,1,8,8,6.5,8,FALSE,1,low
75,7226,1449,survey-multi-choice,21,194012,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,4,Yes,1,10,Speaker Unaware,5,8,1,0,1,8,8,6.5,8,FALSE,1,low
76,7226,2553,survey-multi-choice,15,152344,group1,5a,"{""Q0"":""No""}",explicit,Speaker Aware,7,No,0,7,Speaker Aware,5,8,1,0,1,8,8,6.5,8,FALSE,1,low
77,7226,2100,survey-multi-choice,25,234505,group1,5a,"{""Q0"":""No""}",explicit,Speaker Aware,8,No,0,12,Speaker Aware,5,8,1,0,1,8,8,6.5,8,FALSE,1,low
78,7226,1552,survey-multi-choice,23,211206,group1,5a,"{""Q0"":""No""}",implicit,Speaker Aware,12,No,0,11,Speaker Aware,5,8,1,0,1,8,8,6.5,8,FALSE,1,low
79,7226,970,survey-multi-choice,33,310397,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,16,Yes,1,16,Speaker Unaware,5,8,1,0,1,8,8,6.5,8,FALSE,1,low
80,7226,1295,survey-multi-choice,31,293556,group1,5a,"{""Q0"":""No""}",implicit,Speaker Aware,9,No,0,15,Speaker Aware,5,8,1,0,1,8,8,6.5,8,FALSE,1,low
81,7329,2070,survey-multi-choice,15,110319,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,10,Yes,1,7,Speaker Unaware,0,0,0,0,NA,2,2,0,2,TRUE,0,low
82,7329,3123,survey-multi-choice,17,118397,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Aware,2,Yes,1,8,Speaker Aware,0,0,0,0,NA,2,2,0,2,TRUE,0,low
83,7329,2542,survey-multi-choice,19,123949,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,6,Yes,1,9,Speaker Unaware,0,0,0,0,NA,2,2,0,2,TRUE,0,low
84,7329,3117,survey-multi-choice,25,143621,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,4,Yes,1,12,Speaker Unaware,0,0,0,0,NA,2,2,0,2,TRUE,0,low
85,7329,3589,survey-multi-choice,27,150483,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,16,Yes,1,13,Speaker Unaware,0,0,0,0,NA,2,2,0,2,TRUE,0,low
86,7329,3973,survey-multi-choice,29,157747,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,11,Yes,1,14,Speaker Unaware,0,0,0,0,NA,2,2,0,2,TRUE,0,low
87,7329,3899,survey-multi-choice,3,65755,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Aware,15,Yes,1,1,Speaker Aware,0,0,0,0,NA,2,2,0,2,TRUE,0,low
88,7329,2644,survey-multi-choice,31,163682,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Aware,9,Yes,1,15,Speaker Aware,0,0,0,0,NA,2,2,0,2,TRUE,0,low
89,7329,2343,survey-multi-choice,33,169562,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,14,Yes,1,16,Speaker Unaware,0,0,0,0,NA,2,2,0,2,TRUE,0,low
90,7329,4293,survey-multi-choice,9,90448,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Aware,12,Yes,1,4,Speaker Aware,0,0,0,0,NA,2,2,0,2,TRUE,0,low
91,7329,4948,survey-multi-choice,11,98775,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Aware,13,Yes,1,5,Speaker Aware,0,0,0,0,NA,2,2,0,2,TRUE,0,low
92,7329,2774,survey-multi-choice,13,105151,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,1,Yes,1,6,Speaker Unaware,0,0,0,0,NA,2,2,0,2,TRUE,0,low
93,7329,4311,survey-multi-choice,5,73529,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,3,Yes,1,2,Speaker Unaware,0,0,0,0,NA,2,2,0,2,TRUE,0,low
94,7329,4981,survey-multi-choice,7,82680,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Aware,5,Yes,1,3,Speaker Aware,0,0,0,0,NA,2,2,0,2,TRUE,0,low
95,7329,2820,survey-multi-choice,21,130340,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Aware,7,Yes,1,10,Speaker Aware,0,0,0,0,NA,2,2,0,2,TRUE,0,low
96,7329,2374,survey-multi-choice,23,136388,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Aware,8,Yes,1,11,Speaker Aware,0,0,0,0,NA,2,2,0,2,TRUE,0,low
97,9604,41156,survey-multi-choice,3,101121,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Aware,13,Yes,1,1,Speaker Aware,9,11,1,1,NA,10,10,10,10,TRUE,1,high
98,9604,3070,survey-multi-choice,5,123574,group1,5a,"{""Q0"":""No""}",explicit,Speaker Unaware,11,No,0,2,Speaker Unaware,9,11,1,1,NA,10,10,10,10,TRUE,1,high
99,9604,3309,survey-multi-choice,7,233447,group1,5a,"{""Q0"":""No""}",explicit,Speaker Aware,2,No,0,3,Speaker Aware,9,11,1,1,NA,10,10,10,10,TRUE,1,high
100,9604,2370,survey-multi-choice,9,268656,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,10,Yes,1,4,Speaker Unaware,9,11,1,1,NA,10,10,10,10,TRUE,1,high
101,9604,1849,survey-multi-choice,11,306851,group1,5a,"{""Q0"":""No""}",explicit,Speaker Aware,7,No,0,5,Speaker Aware,9,11,1,1,NA,10,10,10,10,TRUE,1,high
102,9604,2733,survey-multi-choice,13,338973,group1,5a,"{""Q0"":""No""}",explicit,Speaker Aware,8,No,0,6,Speaker Aware,9,11,1,1,NA,10,10,10,10,TRUE,1,high
103,9604,1800,survey-multi-choice,15,358985,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,6,Yes,1,7,Speaker Unaware,9,11,1,1,NA,10,10,10,10,TRUE,1,high
104,9604,1546,survey-multi-choice,17,383798,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,4,Yes,1,8,Speaker Unaware,9,11,1,1,NA,10,10,10,10,TRUE,1,high
105,9604,2704,survey-multi-choice,19,407879,group1,5a,"{""Q0"":""No""}",implicit,Speaker Aware,15,No,0,9,Speaker Aware,9,11,1,1,NA,10,10,10,10,TRUE,1,high
106,9604,1790,survey-multi-choice,21,450351,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,1,Yes,1,10,Speaker Unaware,9,11,1,1,NA,10,10,10,10,TRUE,1,high
107,9604,2791,survey-multi-choice,23,485974,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Aware,5,Yes,1,11,Speaker Aware,9,11,1,1,NA,10,10,10,10,TRUE,1,high
108,9604,1854,survey-multi-choice,25,516907,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,3,Yes,1,12,Speaker Unaware,9,11,1,1,NA,10,10,10,10,TRUE,1,high
109,9604,1583,survey-multi-choice,27,527775,group1,5a,"{""Q0"":""Yes""}",implicit,Speaker Aware,9,Yes,1,13,Speaker Aware,9,11,1,1,NA,10,10,10,10,TRUE,1,high
110,9604,1389,survey-multi-choice,29,549842,group1,5a,"{""Q0"":""No""}",implicit,Speaker Aware,12,No,0,14,Speaker Aware,9,11,1,1,NA,10,10,10,10,TRUE,1,high
111,9604,1446,survey-multi-choice,31,572101,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,16,Yes,1,15,Speaker Unaware,9,11,1,1,NA,10,10,10,10,TRUE,1,high
112,9604,1303,survey-multi-choice,33,591573,group1,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,14,Yes,1,16,Speaker Unaware,9,11,1,1,NA,10,10,10,10,TRUE,1,high
113,10015,3613,survey-multi-choice,33,1690862,group4,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,8,Yes,1,16,Speaker Unaware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
114,10015,5348,survey-multi-choice,7,966264,group4,5a,"{""Q0"":""No""}",implicit,Speaker Aware,1,No,0,3,Speaker Aware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
115,10015,3977,survey-multi-choice,31,1629787,group4,5a,"{""Q0"":""No""}",explicit,Speaker Unaware,7,No,0,15,Speaker Unaware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
116,10015,4212,survey-multi-choice,15,1183394,group4,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,12,Yes,1,7,Speaker Unaware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
117,10015,3146,survey-multi-choice,17,1232097,group4,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,15,Yes,1,8,Speaker Unaware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
118,10015,4844,survey-multi-choice,19,1294451,group4,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,13,Yes,1,9,Speaker Unaware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
119,10015,3650,survey-multi-choice,21,1380662,group4,5a,"{""Q0"":""Yes""}",implicit,Speaker Unaware,9,Yes,1,10,Speaker Unaware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
120,10015,2963,survey-multi-choice,23,1425069,group4,5a,"{""Q0"":""No""}",explicit,Speaker Aware,11,No,0,11,Speaker Aware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
121,10015,3339,survey-multi-choice,25,1476124,group4,5a,"{""Q0"":""Yes""}",explicit,Speaker Aware,10,Yes,1,12,Speaker Aware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
122,10015,5939,survey-multi-choice,27,1527325,group4,5a,"{""Q0"":""No""}",explicit,Speaker Aware,14,No,0,13,Speaker Aware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
123,10015,3692,survey-multi-choice,29,1579277,group4,5a,"{""Q0"":""No""}",implicit,Speaker Aware,4,No,0,14,Speaker Aware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
124,10015,14652,survey-multi-choice,3,836103,group4,5a,"{""Q0"":""No""}",explicit,Speaker Unaware,2,No,0,1,Speaker Unaware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
125,10015,7155,survey-multi-choice,5,904791,group4,5a,"{""Q0"":""Yes""}",explicit,Speaker Aware,16,Yes,1,2,Speaker Aware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
126,10015,5731,survey-multi-choice,9,1052805,group4,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,5,Yes,1,4,Speaker Unaware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
127,10015,4373,survey-multi-choice,11,1118312,group4,5a,"{""Q0"":""Yes""}",implicit,Speaker Aware,3,Yes,1,5,Speaker Aware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
128,10015,8657,survey-multi-choice,13,1166111,group4,5a,"{""Q0"":""Yes""}",implicit,Speaker Aware,6,Yes,1,6,Speaker Aware,11,11,1,1,NA,10,10,11,10,TRUE,1,high
129,12153,14433,survey-multi-choice,3,174283,group2,5a,"{""Q0"":""No""}",implicit,Speaker Unaware,8,No,0,1,Speaker Unaware,14,14,1,0,1,10,10,14,10,FALSE,1,high
130,12153,4171,survey-multi-choice,11,338009,group2,5a,"{""Q0"":""Yes""}",explicit,Speaker Aware,4,Yes,1,5,Speaker Aware,14,14,1,0,1,10,10,14,10,FALSE,1,high
131,12153,2701,survey-multi-choice,13,366130,group2,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,9,Yes,1,6,Speaker Unaware,14,14,1,0,1,10,10,14,10,FALSE,1,high
132,12153,6884,survey-multi-choice,15,400470,group2,5a,"{""Q0"":""Yes""}",explicit,Speaker Unaware,13,Yes,1,7,Speaker Unaware,14,14,1,0,1,10,10,14,10,FALSE,1,high
133,12153,3051,survey-multi-choice,17,432151,group2,5a,"{""Q0"":""Yes""}",explicit,Speaker Aware,3,Yes,1,8,Speaker Aware,14,14,1,0,1,10,10,14,10,FALSE,1,high
134,12153,10585,survey-multi-choice,19,482114,group2,5a,"{""Q0"":""No""}",implicit,Speaker Unaware,5,No,0,9,Speaker Unaware,14,14,1,0,1,10,10,14,10,FALSE,1,high
135,12153,3917,survey-multi-choice,21,521163,group2,5a,"{""Q0"":""No""}",explicit,Speaker Aware,1,No,0,10,Speaker Aware,14,14,1,0,1,10,10,14,10,FALSE,1,high
